,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
40,Commercial Plot,PKR22.95 Lakh,PKR16 Lakh,PKR29.5 Thousand,14 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,2 Marla,For Sale,-,1 week ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
41,Commercial Plot,PKR95 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,4 Marla,For Sale,-,1 week ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
42,Commercial Plot,PKR40 Lakh,PKR8 Lakh,PKR40 Thousand,48 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,2 Marla,For Sale,-,6 days ago,
43,Residential Plot,PKR10.5 Lakh,PKR2.63 Lakh,PKR6.5 Thousand,60 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
44,Agricultural Land,PKR35 Crore,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,800 Kanal,For Sale,-,6 days ago,"Possesion,Electricity,Sui Gas,Irrigation,Tube Wells,Accessible by Road,Perimeter Fencing,Land Fertility,Nearby Water Resources,Other Land Features,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
45,Residential Plot,PKR10.5 Lakh,PKR2.63 Lakh,PKR6.5 Thousand,60 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
46,Plot File,PKR15 Lakh,PKR2.75 Lakh,PKR9.5 Thousand,48 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
47,Plot File,PKR8.85 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,5 hours ago,
48,Plot File,PKR6 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
49,Residential Plot,PKR35 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
