,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
83,Plot File,PKR6.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
84,Plot File,PKR6.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
85,Plot File,PKR6.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
86,Residential Plot,PKR45 Lakh,PKR6 Lakh,PKR35 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,
87,Residential Plot,PKR95 Lakh,PKR19 Lakh,PKR40 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
88,Residential Plot,PKR67 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,
89,Plot File,PKR13 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,
90,Plot File,PKR34.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
91,Residential Plot,PKR21.9 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
92,Residential Plot,PKR45 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall"
93,Plot File,PKR5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,
94,Plot File,PKR7.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
95,Plot File,PKR17 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,
96,Residential Plot,PKR45 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
