,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
132,Residential Plot,PKR1.55 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,"Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Security Staff"
133,Residential Plot,PKR2.15 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
134,Plot File,PKR21.5 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,
135,Commercial Plot,PKR2.5 Crore,PKR15 Lakh,PKR90 Thousand,48 Months,"Main Canal Bank Road, Lahore, Punjab",-,2 Marla,For Sale,-,2 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
136,Plot File,PKR16.2 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
137,Residential Plot,PKR1.5 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
138,Residential Plot,PKR1 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
139,Commercial Plot,PKR6.25 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,5.3 Marla,For Sale,-,2 weeks ago,
140,Residential Plot,PKR80 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
141,Residential Plot,PKR34 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,
142,Plot File,PKR20 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
143,Residential Plot,PKR1.02 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
144,Commercial Plot,PKR60 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,2 Marla,For Sale,-,3 weeks ago,
145,Residential Plot,PKR60 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
146,Plot File,PKR18 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
147,Plot File,PKR16.25 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,
148,Plot File,PKR2.25 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,4 weeks ago,
149,Residential Plot,PKR90 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
150,Residential Plot,PKR18 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,
151,Residential Plot,PKR1.3 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,7.7 Marla,For Sale,-,1 month ago,
152,Plot File,PKR21 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,7.5 Marla,For Sale,-,1 month ago,
153,Plot File,PKR27 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 month ago,
154,Plot File,PKR17 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,
155,Plot File,PKR46 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 month ago,
156,Plot File,PKR14 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 months ago,
157,Plot File,PKR34.9 Lakh,PKR2.75 Lakh,PKR20 Thousand,48 Months,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 months ago,
158,Residential Plot,PKR1.55 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,10 Marla,For Sale,-,5 months ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Security Staff"
159,Residential Plot,PKR35 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,6 months ago,"Possesion,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Security Staff"
160,Plot File,PKR20 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,7 months ago,
161,Plot File,PKR22 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,8 months ago,
162,Residential Plot,PKR34.9 Lakh,PKR2.75 Lakh,PKR20 Thousand,48 Months,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,8 months ago,
163,Residential Plot,PKR21.5 Lakh,PKR2.5 Lakh,PKR15 Thousand,48 Months,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,8 months ago,
164,Residential Plot,PKR1.2 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,8 Marla,For Sale,-,9 months ago,
